Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Akhtar, M., Sushil, S.","54882145600; 22941979500","Strategic performance management system in uncertain business environment: An empirical study of the Indian oil industry",2018,"Business Process Management Journal",24,"4",,923,942,,12,10.1108/BPMJ-05-2017-0102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047821547&partnerID=40&md5=3db2159c92309fbca832180816d7ffc4",Article,Final,"",Scopus,2-s2.0-85047821547
"Akmam Syed Zakaria, S., Gajendran, T., Skitmore, M., Brewer, G.","57193536380; 14826277900; 7003387239; 14826559900","Key factors influencing the decision to adopt industrialised building systems technology in the Malaysian construction industry: an inter-project perspective",2018,"Architectural Engineering and Design Management",14,"1-2",,27,45,,12,10.1080/17452007.2017.1298512,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016099115&partnerID=40&md5=383703496a48ef343da9657c77afbc24",Article,Final,"",Scopus,2-s2.0-85016099115
"Lindsay, C., Findlay, P., McQuarrie, J., Bennie, M., Corcoran, E.D., Van Der Meer, R.","7005682869; 36730991700; 57193199251; 6603121673; 55936183800; 7004317390","Collaborative Innovation, New Technologies, and Work Redesign",2018,"Public Administration Review",78,"2",,251,260,,12,10.1111/puar.12843,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028931205&partnerID=40&md5=a1b7aaff5c91f3ae9bf58c6d391672c5",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85028931205
"Chiu, B.W.Y., Lai, J.H.K.","57194897834; 8227257600","Project delay: key electrical construction factors in Hong Kong",2017,"Journal of Civil Engineering and Management",23,"7",,847,857,,12,10.3846/13923730.2017.1319410,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024129091&partnerID=40&md5=84e0678f234b1d1c4943e4a8f8d4983b",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85024129091
"Yuan, H.","35605291100","Achieving Sustainability in Railway Projects: Major Stakeholder Concerns",2017,"Project Management Journal",48,"5",,115,132,,12,10.1177/875697281704800508,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053632944&partnerID=40&md5=9e9f63664125e0ac177262e0fea871e9",Article,Final,"",Scopus,2-s2.0-85053632944
"Rey-Perez, J., Siguencia Ávila, M.E.","57202396226; 57192939440","Historic urban landscape: an approach for sustainable management in Cuenca (Ecuador)",2017,"Journal of Cultural Heritage Management and Sustainable Development",7,"3",,308,327,,12,10.1108/JCHMSD-12-2016-0064,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029712224&partnerID=40&md5=072b58ac8b6a105fc0acc7604176751e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85029712224
"Crick, R.D., Barr, S., Green, H., Pedder, D.","8924561000; 57197978021; 57194110081; 13409713700","Evaluating the wider outcomes of schools: Complex systems modelling for leadership decisioning",2017,"Educational Management Administration and Leadership",45,"4",,719,743,,12,10.1177/1741143215597233,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018757351&partnerID=40&md5=74eebe2ac74199d72fcc12ed9e4d990c",Article,Final,"",Scopus,2-s2.0-85018757351
"Verweij, S., Teisman, G.R., Gerrits, L.M.","55561607000; 6506288569; 6507209290","Implementing Public–Private Partnerships: How Management Responses to Events Produce (Un) Satisfactory Outcomes",2017,"Public Works Management and Policy",22,"2",,119,139,,12,10.1177/1087724X16672949,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014942210&partnerID=40&md5=109eb8d0d3af74c899b4d0ba74d96fc4",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85014942210
"Gandini, A., Garmendia, L., San Mateos, R.","57195350140; 36720389500; 37051345400","Towards sustainable historic cities: Adaptation to climate change risks",2017,"Entrepreneurship and Sustainability Issues",4,"3",,319,327,,12,10.9770/jesi.2017.4.3S(7),"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016090934&partnerID=40&md5=57847e4e646744e9a82cd9c32ac7d410",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85016090934
"Hens, L., Cabello-Eras, J.J., Sagastume-Gutiérez, A., Garcia-Lorenzo, D., Cogollos-Martinez, J.B., Vandecasteele, C.","55821761900; 6505661068; 57211311996; 55985541700; 35848239600; 7005856566","University–industry interaction on cleaner production. The case of the Cleaner Production Center at the University of Cienfuegos in Cuba, a country in transition",2017,"Journal of Cleaner Production",142,"",,63,68,,12,10.1016/j.jclepro.2015.10.105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84950140966&partnerID=40&md5=0dd5262b3e93ee368d6e6c75c41c8404",Article,Final,"",Scopus,2-s2.0-84950140966
